inat_id,date,latitude,longitude,positional_accuracy,scientific_name
3362185,2016-05-07,30.750201,-97.294155,300,Rudbeckia hirta
3364731,2016-05-13,33.9900883333,-94.9950333333,NA,Rudbeckia hirta
3368088,2016-05-07,30.750201,-97.294155,300,Rudbeckia hirta
3369863,2016-05-30,30.728265,-96.022099,7,Rudbeckia hirta
3371475,2016-06-03,40.6220288761,-89.0248475411,5,Rudbeckia hirta
3374476,2016-04-28,28.51021,-96.81979,100,Rudbeckia hirta
3376534,2016-06-03,41.4114003183,-87.994478924,22,Rudbeckia hirta
3380931,2016-06-04,41.772472,-87.861598,15,Rudbeckia hirta
3381011,2016-05-26,32.5863876343,-97.0911102295,1,Rudbeckia hirta
3384140,2016-06-01,32.6905943356,-97.1914439276,2752,Rudbeckia hirta
3387643,2016-06-04,32.574178,-97.483999,3,Rudbeckia hirta
3395611,2016-06-03,33.088119,-87.063496,111,Rudbeckia hirta
3399906,2016-06-06,31.533528,-97.146885,4148,Rudbeckia hirta
3402837,2016-06-05,30.526825,-95.630075,57,Rudbeckia hirta
3404662,2016-06-07,30.1013722178,-95.4493862205,5,Rudbeckia hirta
3408910,2016-06-07,30.101372746,-95.4494346798,49,Rudbeckia hirta
3408973,2016-06-07,30.101422634,-95.4494391524,25,Rudbeckia hirta
3409137,2016-06-08,32.7028363478,-96.7049451918,5,Rudbeckia hirta
3409139,2016-06-08,32.7028318215,-96.7048027833,5,Rudbeckia hirta
3415287,2016-06-08,30.824496,-96.743386,3,Rudbeckia hirta
3423025,2016-06-09,43.650438,-72.945487,7,Rudbeckia hirta
3424285,2016-06-07,NA,NA,4886,Rudbeckia hirta
3426290,2016-06-07,30.5174816667,-98.0416933333,NA,Rudbeckia hirta
3426482,2016-06-10,35.702858191,-82.5863324342,153,Rudbeckia hirta
3434264,2016-06-11,32.7394915419,-96.7443828006,5,Rudbeckia hirta
3434389,2016-06-11,40.52560936,-88.07520672,8,Rudbeckia hirta
3434917,2016-06-07,37.61517,-97.3258216667,NA,Rudbeckia hirta
3435514,2016-06-09,37.47817,-95.9893116667,NA,Rudbeckia hirta
3437156,2016-06-11,42.05973584,-87.84212002,6,Rudbeckia hirta
3438227,2016-06-11,44.37706826,-72.12537347,40,Rudbeckia hirta
3439830,2016-06-11,43.161507,-88.889363,NA,Rudbeckia hirta
3441961,2016-06-08,32.4036466667,-97.3314966667,NA,Rudbeckia hirta
3444326,2016-06-11,41.9011166667,-89.391425,NA,Rudbeckia hirta
3444877,2016-06-11,32.8386733333,-97.469375,NA,Rudbeckia hirta
3446692,2016-06-12,30.221681,-95.497965,28,Rudbeckia hirta
3449713,2016-06-13,39.7104705451,-93.708406007,5,Rudbeckia hirta
3453848,2016-06-13,45.47367,-94.35603,4,Rudbeckia hirta
3454041,2016-06-13,29.814245224,-95.2793807983,NA,Rudbeckia hirta
3456656,2016-06-14,37.627075,-89.20012,500,Rudbeckia hirta
3461548,2016-06-14,32.803393,-97.462718,4,Rudbeckia hirta
3463195,2016-06-15,32.7266106522,-96.720172763,5,Rudbeckia hirta
3464060,2016-06-15,36.1252166667,-97.1764833333,NA,Rudbeckia hirta
3466450,2016-06-16,41.8972073006,-103.4355890595,1712,Rudbeckia hirta pulcherrima
3466466,2016-06-16,32.74154224,-97.36206029,4,Rudbeckia hirta
3466480,2016-06-16,43.7674481376,-72.2407869995,5,Rudbeckia hirta
3466671,2016-06-16,32.7420782801,-97.3627864569,1376,Rudbeckia hirta
3471949,2016-06-17,39.886545,-88.895295,NA,Rudbeckia hirta pulcherrima
3473438,2016-06-17,37.7143555556,-89.1994333333,NA,Rudbeckia hirta
3474550,2016-06-17,43.6036937007,-84.2805541748,109,Rudbeckia hirta
3474755,2016-06-15,35.620692,-83.116529,107,Rudbeckia hirta
3476628,2016-06-18,39.2441617605,-76.5965102893,5,Rudbeckia hirta
3477257,2016-06-18,39.24413568,-76.59635343,10,Rudbeckia hirta
3478720,2016-06-18,43.634803,-73.388403,NA,Rudbeckia hirta
3479070,2016-06-18,42.9825,-73.8422222222,NA,Rudbeckia hirta
3480684,2016-06-17,42.960209,-88.878883,NA,Rudbeckia hirta
3483653,2016-06-19,40.411389,-88.73222,NA,Rudbeckia hirta
3483932,2016-06-19,41.58105,-83.5938333333,NA,Rudbeckia hirta
3484492,2016-06-14,38.8157058182,-77.6762307622,5,Rudbeckia hirta
3485464,2016-06-18,43.146397,-88.880005,NA,Rudbeckia hirta
3485555,2016-06-19,29.313491590800002,-98.1487771499,252,Rudbeckia hirta
3485826,2016-06-19,29.707690413,-98.7409293185,57,Rudbeckia hirta
3485828,2016-06-19,29.67589786,-98.660367424,57,Rudbeckia hirta
3485832,2016-06-19,29.7555735378,-98.7406804677,57,Rudbeckia hirta
3486093,2016-06-19,35.83927103,-106.3699703,15,Rudbeckia hirta
3490258,2016-06-19,29.761525,-95.39885,NA,Rudbeckia hirta
3495270,2016-06-20,41.3757833333,-88.1280221667,NA,Rudbeckia hirta
3496405,2016-06-18,39.243192,-76.597061,NA,Rudbeckia hirta
3497627,2016-06-21,45.1712095505,-92.7610047721,5,Rudbeckia hirta
3499067,2016-06-20,42.210633,-87.803292,24,Rudbeckia hirta
3499490,2016-06-20,44.509108,-73.270199,23,Rudbeckia hirta
3500233,2016-06-21,30.255309,-94.679505,28,Rudbeckia hirta
3500379,2016-06-21,37.5788,-89.4393397222,NA,Rudbeckia hirta
3503648,2016-06-16,33.6546661193,-97.7064952814,5,Rudbeckia hirta
3507193,2016-06-21,44.016368866,-96.3193283081,NA,Rudbeckia hirta
3511717,2016-06-23,43.6890575,-72.32589392,10,Rudbeckia hirta
3512180,2016-06-23,42.0937111667,-87.75975,NA,Rudbeckia hirta
3513396,2016-06-21,43.0836027778,-89.4294138889,NA,Rudbeckia hirta
3513914,2016-06-23,45.1161294414,-92.7544546771,NA,Rudbeckia hirta
3514808,2016-06-24,44.2696795273,-96.7763005441,165,Rudbeckia hirta
3515934,2016-06-24,44.7700083303,-75.3930710816,5,Rudbeckia hirta
3516319,2016-06-24,40.6203326304,-89.0238029045,10,Rudbeckia hirta
3517039,2016-06-24,42.952045,-88.872009,NA,Rudbeckia hirta
3521375,2016-06-21,38.7813633333,-82.981645,NA,Rudbeckia hirta
3521749,2016-06-24,39.475895,-77.3683033333,NA,Rudbeckia hirta
3526264,2016-06-26,42.0370102628,-71.1965855119,10,Rudbeckia hirta
3526952,2016-06-26,38.844456,-77.641831,2203,Rudbeckia hirta
3527062,2016-06-26,39.1981185414,-77.1002842114,5,Rudbeckia hirta pulcherrima
3528856,2016-06-18,35.4282264709,-97.2876358032,NA,Rudbeckia hirta
3529392,2016-06-11,35.14393,-81.37971,6,Rudbeckia hirta
3532748,2016-06-27,43.82345268,-72.2847981,9,Rudbeckia hirta
3533186,2016-06-27,39.3898124695,-81.4187850952,NA,Rudbeckia hirta
3534372,2016-06-27,40.9164098232,-74.1812925507,5,Rudbeckia hirta pulcherrima
3534586,2016-06-27,43.037834,-88.982262,NA,Rudbeckia hirta
3534910,2016-06-26,39.4790000916,-80.8627243042,NA,Rudbeckia hirta
3538337,2016-06-28,49.3375015259,-101.1666641235,NA,Rudbeckia hirta
