sample_size,flowering_lengths,flowering_gradients,spatial_gradient_types,clustering,bootstrap_i,simulation_id,seed
600,15,16.799999999999997,linear,FALSE,1,131,349767978.30313444
1200,15,16.799999999999997,linear,FALSE,1,132,643606870.6680089
150,30,16.799999999999997,linear,FALSE,1,133,102920220.2335
300,30,16.799999999999997,linear,FALSE,1,134,368595662.2939557
600,30,16.799999999999997,linear,FALSE,1,135,557758459.5885128
1200,30,16.799999999999997,linear,FALSE,1,136,549329797.0388085
150,45,16.799999999999997,linear,FALSE,1,137,78067564.40550089
300,45,16.799999999999997,linear,FALSE,1,138,547788146.417588
600,45,16.799999999999997,linear,FALSE,1,139,778794064.8850054
1200,45,16.799999999999997,linear,FALSE,1,140,230648630.2986741
150,60,16.799999999999997,linear,FALSE,1,141,327055253.55413556
300,60,16.799999999999997,linear,FALSE,1,142,163231471.7862755
600,60,16.799999999999997,linear,FALSE,1,143,691798884.1887563
1200,60,16.799999999999997,linear,FALSE,1,144,92535589.12314475
150,15,33.599999999999994,non-linear,FALSE,1,145,601222170.7496792
300,15,33.599999999999994,non-linear,FALSE,1,146,818965491.3730919
600,15,33.599999999999994,non-linear,FALSE,1,147,956106872.5306541
1200,15,33.599999999999994,non-linear,FALSE,1,148,152648599.3526876
150,30,33.599999999999994,non-linear,FALSE,1,149,949632246.280089
300,30,33.599999999999994,non-linear,FALSE,1,150,973098444.0539032
600,30,33.599999999999994,non-linear,FALSE,1,151,321301928.255707
1200,30,33.599999999999994,non-linear,FALSE,1,152,623246747.3018914
150,45,33.599999999999994,non-linear,FALSE,1,153,768853757.2976202
300,45,33.599999999999994,non-linear,FALSE,1,154,100667379.56367433
600,45,33.599999999999994,non-linear,FALSE,1,155,3562492.3184514046
1200,45,33.599999999999994,non-linear,FALSE,1,156,635881232.7962369
150,60,33.599999999999994,non-linear,FALSE,1,157,682030225.8711308
300,60,33.599999999999994,non-linear,FALSE,1,158,781835555.5646122
600,60,33.599999999999994,non-linear,FALSE,1,159,371983248.9732653
1200,60,33.599999999999994,non-linear,FALSE,1,160,476959021.29635215
150,15,67.19999999999999,non-linear,FALSE,1,161,469376842.95699
300,15,67.19999999999999,non-linear,FALSE,1,162,274718762.84107566
600,15,67.19999999999999,non-linear,FALSE,1,163,148664196.7203468
1200,15,67.19999999999999,non-linear,FALSE,1,164,246392867.29507148
150,30,67.19999999999999,non-linear,FALSE,1,165,522463634.6101761
300,30,67.19999999999999,non-linear,FALSE,1,166,333528850.460425
