#
# Transition date estimate for shiningrock
#
# Site: shiningrock
# Veg Type: DB
# ROI ID Number: 3000
# Aggregation period: 3day
# Year min: 2009
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 16:30:52
# Spline RMSE gcc_mean: 0.00743
# Spline RMSE gcc_50: 0.00789
# Spline RMSE gcc_75: 0.00651
# Spline RMSE gcc_90: 0.00636
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
shiningrock,DB,3000,falling,gcc_90,2009-10-17,2009-10-09,2009-09-26,2009-10-18,2009-10-10,2009-09-29,2009-10-14,2009-10-07,2009-09-08,0.33609,0.36712,0.42174,0.31868,0.52124
shiningrock,DB,3000,falling,gcc_75,2018-10-23,2018-10-16,2018-10-06,2018-10-24,2018-10-17,2018-10-08,2018-10-21,2018-10-15,2018-10-05,0.35392,0.38415,0.43347,0.33799,0.5252
shiningrock,DB,3000,falling,gcc_75,2017-10-27,2017-10-20,2017-10-04,2017-10-29,2017-10-21,2017-10-06,2017-10-25,2017-10-18,2017-10-02,0.35459,0.38189,0.43576,0.33477,0.53634
shiningrock,DB,3000,falling,gcc_75,2016-10-17,2016-10-13,2016-10-03,2016-10-18,2016-10-14,2016-10-05,2016-10-15,2016-10-11,2016-10-02,0.36713,0.38988,0.43638,0.35323,0.51564
shiningrock,DB,3000,falling,gcc_75,2015-10-26,2015-10-18,2015-10-07,2015-10-28,2015-10-19,2015-10-10,2015-10-23,2015-10-16,2015-10-06,0.3505,0.37179,0.41553,0.33634,0.49077
shiningrock,DB,3000,falling,gcc_75,2014-10-20,2014-10-12,2014-09-24,2014-10-24,2014-10-14,2014-09-27,2014-10-17,2014-10-10,2014-09-23,0.35634,0.38534,0.43538,0.34001,0.52548
shiningrock,DB,3000,falling,gcc_75,2013-10-27,2013-10-21,2013-09-19,2013-10-28,2013-10-22,2013-10-04,2013-10-25,2013-10-19,2013-09-16,0.35717,0.38716,0.43809,0.33935,0.53544
shiningrock,DB,3000,falling,gcc_75,2012-10-25,2012-10-19,2012-09-23,2012-10-26,2012-10-20,2012-09-26,2012-10-23,2012-10-17,2012-09-21,0.35949,0.39024,0.44073,0.34423,0.53562
shiningrock,DB,3000,falling,gcc_75,2011-10-06,2011-09-30,2011-09-08,2011-11-16,2011-10-02,2011-09-10,2011-10-05,2011-09-18,2011-09-07,0.37289,0.40179,0.44129,0.36473,0.51522
shiningrock,DB,3000,falling,gcc_75,2010-10-19,2010-10-11,2010-09-17,2010-10-21,2010-10-12,2010-09-19,2010-10-16,2010-10-09,2010-09-16,0.35175,0.38148,0.43134,0.3346,0.52389
