#
# Transition date estimate for proctor
#
# Site: proctor
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 15:59:40
# Spline RMSE gcc_mean: 0.00248
# Spline RMSE gcc_50: 0.00296
# Spline RMSE gcc_75: 0.00281
# Spline RMSE gcc_90: 0.00247
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
proctor,DB,1000,rising,gcc_mean,2013-04-27,2013-04-30,2013-05-05,2013-04-26,2013-04-29,2013-05-03,2013-04-30,2013-05-02,2013-05-06,0.3142,0.32015,0.33421,0.31165,0.35541
proctor,DB,1000,rising,gcc_mean,2014-05-08,2014-05-11,2014-05-16,2014-05-06,2014-05-10,2014-05-14,2014-05-10,2014-05-13,2014-05-17,0.31473,0.32024,0.33473,0.31093,0.3547
proctor,DB,1000,rising,gcc_mean,2015-05-01,2015-05-04,2015-05-09,2015-04-30,2015-05-03,2015-05-07,2015-05-03,2015-05-06,2015-05-10,0.31476,0.3216,0.33383,0.31198,0.35456
proctor,DB,1000,rising,gcc_mean,2016-05-10,2016-05-13,2016-05-18,2016-05-07,2016-05-12,2016-05-16,2016-05-12,2016-05-15,2016-05-19,0.31647,0.32204,0.33425,0.31276,0.35139
proctor,DB,1000,rising,gcc_mean,2017-04-29,2017-05-08,2017-05-16,2017-04-23,2017-05-06,2017-05-14,2017-05-05,2017-05-11,2017-05-17,0.31866,0.32463,0.33618,0.31484,0.35694
proctor,DB,1000,rising,gcc_mean,2018-05-02,2018-05-07,2018-05-13,2018-04-26,2018-05-05,2018-05-11,2018-05-05,2018-05-09,2018-05-14,0.31614,0.32331,0.3352,0.3128,0.3553
proctor,DB,1000,rising,gcc_mean,2019-05-05,2019-05-11,2019-05-19,2019-04-30,2019-05-10,2019-05-17,2019-05-09,2019-05-14,2019-05-20,0.31818,0.32409,0.33755,0.31428,0.35821
proctor,DB,1000,falling,gcc_90,2018-10-21,2018-10-11,2018-10-01,2018-10-28,2018-10-15,2018-10-04,2018-10-14,2018-10-07,2018-09-29,0.32307,0.32812,0.33835,0.31974,0.3551
proctor,DB,1000,falling,gcc_90,2017-10-24,2017-10-18,2017-10-10,2017-12-09,2017-10-20,2017-10-13,2017-10-20,2017-10-15,2017-10-08,0.3217,0.32748,0.33788,0.31868,0.35613
proctor,DB,1000,falling,gcc_90,2016-10-20,2016-10-17,2016-10-11,2016-10-21,2016-10-18,2016-10-13,2016-10-18,2016-10-15,2016-10-10,0.32136,0.32766,0.33827,0.319,0.3561
proctor,DB,1000,falling,gcc_90,2015-10-14,2015-10-09,2015-10-03,2015-10-17,2015-10-11,2015-10-05,2015-10-11,2015-10-07,2015-10-01,0.32228,0.32801,0.3381,0.31852,0.35698
proctor,DB,1000,falling,gcc_90,2014-10-12,2014-10-07,2014-09-27,2014-10-14,2014-10-09,2014-09-30,2014-10-09,2014-10-04,2014-09-23,0.32229,0.32895,0.33875,0.3196,0.35754
proctor,DB,1000,falling,gcc_90,2013-10-06,2013-10-03,2013-09-26,2013-10-07,2013-10-04,2013-09-28,2013-10-04,2013-09-30,2013-09-24,0.32045,0.32635,0.33967,0.31713,0.36075
proctor,DB,1000,falling,gcc_90,2012-10-22,2012-10-01,2012-09-23,2012-10-25,2012-10-03,2012-09-26,2012-10-02,2012-09-28,2012-09-21,0.32025,0.32504,0.33506,0.31727,0.35104
proctor,DB,1000,falling,gcc_90,2011-10-12,2011-10-08,2011-10-01,2011-10-13,2011-10-09,2011-10-04,2011-10-09,2011-10-05,2011-09-29,0.32131,0.32759,0.33957,0.31878,0.35848
proctor,DB,1000,falling,gcc_90,2010-10-08,2010-10-01,2010-09-23,2010-10-13,2010-10-05,2010-09-26,2010-10-03,2010-09-27,2010-09-20,0.32091,0.32515,0.33223,0.31837,0.34604
proctor,DB,1000,falling,gcc_90,2009-10-08,2009-10-05,2009-09-29,2009-10-10,2009-10-06,2009-10-01,2009-10-06,2009-10-03,2009-09-28,0.31957,0.32564,0.33855,0.31616,0.35736
proctor,DB,1000,falling,gcc_90,2008-10-04,2008-09-30,2008-09-21,2008-10-06,2008-10-02,2008-09-24,2008-10-01,2008-09-27,2008-09-20,0.32023,0.32485,0.33578,0.31712,0.35213
proctor,DB,1000,falling,gcc_75,2018-10-23,2018-10-12,2018-10-02,2018-10-31,2018-10-16,2018-10-05,2018-10-15,2018-10-07,2018-09-29,0.32075,0.32575,0.33515,0.31744,0.35269
proctor,DB,1000,falling,gcc_75,2017-10-22,2017-10-16,2017-10-09,2017-10-25,2017-10-19,2017-10-12,2017-10-18,2017-10-14,2017-10-07,0.32166,0.32755,0.33671,0.31892,0.3537
proctor,DB,1000,falling,gcc_75,2016-10-19,2016-10-16,2016-10-10,2016-10-21,2016-10-18,2016-10-12,2016-10-17,2016-10-14,2016-10-08,0.31984,0.3254,0.33564,0.31623,0.3531
proctor,DB,1000,falling,gcc_75,2015-10-13,2015-10-09,2015-10-03,2015-10-16,2015-10-11,2015-10-05,2015-10-10,2015-10-07,2015-10-01,0.31951,0.32454,0.33573,0.31616,0.35389
proctor,DB,1000,falling,gcc_75,2014-10-12,2014-10-08,2014-09-28,2014-10-14,2014-10-10,2014-10-02,2014-10-09,2014-10-05,2014-09-23,0.32008,0.32569,0.33541,0.31726,0.35319
proctor,DB,1000,falling,gcc_75,2013-10-05,2013-10-01,2013-09-25,2013-10-07,2013-10-03,2013-09-28,2013-10-02,2013-09-29,2013-09-23,0.31813,0.32443,0.33574,0.31508,0.3554
proctor,DB,1000,falling,gcc_75,2012-10-22,2012-10-01,2012-09-24,2012-10-25,2012-10-04,2012-09-27,2012-10-02,2012-09-28,2012-09-22,0.31804,0.32277,0.33186,0.31512,0.34741
proctor,DB,1000,falling,gcc_75,2011-10-11,2011-10-07,2011-10-01,2011-10-13,2011-10-09,2011-10-04,2011-10-08,2011-10-05,2011-09-29,0.31999,0.32597,0.33637,0.31722,0.35392
proctor,DB,1000,falling,gcc_75,2010-10-12,2010-10-05,2010-09-24,2010-10-18,2010-10-10,2010-09-28,2010-10-06,2010-09-29,2010-09-21,0.31667,0.32069,0.32837,0.3143,0.34136
proctor,DB,1000,falling,gcc_75,2009-10-07,2009-10-05,2009-09-29,2009-10-09,2009-10-06,2009-10-01,2009-10-05,2009-10-03,2009-09-27,0.31805,0.32234,0.33513,0.31436,0.35327
proctor,DB,1000,falling,gcc_75,2008-10-04,2008-09-30,2008-09-22,2008-10-06,2008-10-02,2008-09-25,2008-10-01,2008-09-27,2008-09-20,0.3159,0.32121,0.33234,0.31311,0.34912
proctor,DB,1000,falling,gcc_50,2018-10-27,2018-10-15,2018-10-02,2018-11-11,2018-10-20,2018-10-05,2018-10-19,2018-10-08,2018-09-28,0.31764,0.32274,0.33205,0.31452,0.3493
proctor,DB,1000,falling,gcc_50,2017-10-23,2017-10-17,2017-10-09,2017-10-28,2017-10-20,2017-10-12,2017-10-19,2017-10-14,2017-10-06,0.31765,0.32322,0.33282,0.31473,0.35016
proctor,DB,1000,falling,gcc_50,2016-10-19,2016-10-15,2016-10-09,2016-10-20,2016-10-17,2016-10-12,2016-10-16,2016-10-13,2016-10-08,0.31531,0.32144,0.33193,0.31308,0.34797
proctor,DB,1000,falling,gcc_50,2015-10-11,2015-10-08,2015-10-03,2015-10-14,2015-10-09,2015-10-05,2015-10-08,2015-10-06,2015-10-01,0.31671,0.32123,0.33095,0.31399,0.34742
proctor,DB,1000,falling,gcc_50,2014-10-12,2014-10-09,2014-09-30,2014-10-15,2014-10-11,2014-10-04,2014-10-09,2014-10-05,2014-09-19,0.31743,0.32138,0.33036,0.31433,0.34625
proctor,DB,1000,falling,gcc_50,2013-10-05,2013-10-01,2013-09-25,2013-10-08,2013-10-03,2013-09-28,2013-10-02,2013-09-29,2013-09-23,0.31416,0.31944,0.33056,0.3111,0.34815
proctor,DB,1000,falling,gcc_50,2012-10-03,2012-09-29,2012-09-23,2012-10-20,2012-10-02,2012-09-26,2012-09-30,2012-09-26,2012-09-20,0.3178,0.32197,0.32907,0.31538,0.34203
proctor,DB,1000,falling,gcc_50,2011-10-12,2011-10-08,2011-10-01,2011-10-15,2011-10-10,2011-10-04,2011-10-09,2011-10-05,2011-09-29,0.3151,0.32048,0.331,0.31224,0.34783
proctor,DB,1000,falling,gcc_50,2010-10-10,2010-10-04,2010-09-23,2010-10-13,2010-10-09,2010-09-29,2010-10-04,2010-09-28,2010-09-17,0.31483,0.31865,0.32468,0.31313,0.33534
proctor,DB,1000,falling,gcc_50,2009-10-08,2009-10-04,2009-09-29,2009-10-10,2009-10-06,2009-10-01,2009-10-05,2009-10-02,2009-09-26,0.31305,0.31965,0.32884,0.31058,0.34692
proctor,DB,1000,falling,gcc_50,2008-10-03,2008-09-29,2008-09-21,2008-10-06,2008-10-01,2008-09-24,2008-09-30,2008-09-25,2008-09-19,0.31315,0.31802,0.32849,0.30969,0.3471
proctor,DB,1000,falling,gcc_mean,2018-10-23,2018-10-13,2018-10-02,2018-10-29,2018-10-17,2018-10-05,2018-10-17,2018-10-08,2018-09-29,0.31863,0.32369,0.33239,0.31554,0.3489
proctor,DB,1000,falling,gcc_mean,2017-10-22,2017-10-17,2017-10-09,2017-10-25,2017-10-19,2017-10-12,2017-10-19,2017-10-14,2017-10-07,0.31897,0.32367,0.33332,0.31589,0.34966
proctor,DB,1000,falling,gcc_mean,2016-10-19,2016-10-16,2016-10-10,2016-10-21,2016-10-18,2016-10-13,2016-10-17,2016-10-14,2016-10-09,0.31587,0.32063,0.33056,0.313,0.34524
proctor,DB,1000,falling,gcc_mean,2015-10-13,2015-10-09,2015-10-03,2015-10-16,2015-10-10,2015-10-05,2015-10-09,2015-10-06,2015-10-01,0.31508,0.31952,0.33028,0.31234,0.34686
proctor,DB,1000,falling,gcc_mean,2014-10-11,2014-10-08,2014-09-27,2014-10-14,2014-10-10,2014-10-02,2014-10-09,2014-10-04,2014-09-21,0.3178,0.32129,0.33052,0.31478,0.34517
proctor,DB,1000,falling,gcc_mean,2013-10-05,2013-10-01,2013-09-25,2013-10-07,2013-10-03,2013-09-27,2013-10-02,2013-09-29,2013-09-23,0.31391,0.31923,0.3298,0.31089,0.34771
proctor,DB,1000,falling,gcc_mean,2012-10-04,2012-09-29,2012-09-22,2012-10-11,2012-10-02,2012-09-26,2012-09-30,2012-09-26,2012-09-20,0.31663,0.32069,0.32786,0.31414,0.34038
proctor,DB,1000,falling,gcc_mean,2011-10-12,2011-10-08,2011-10-02,2011-10-14,2011-10-10,2011-10-05,2011-10-10,2011-10-06,2011-09-30,0.31486,0.32026,0.32966,0.31176,0.34613
proctor,DB,1000,falling,gcc_mean,2010-10-09,2010-10-04,2010-09-23,2010-10-12,2010-10-08,2010-09-28,2010-10-04,2010-09-28,2010-09-18,0.31434,0.31756,0.32382,0.31225,0.33487
proctor,DB,1000,falling,gcc_mean,2009-10-08,2009-10-05,2009-09-29,2009-10-10,2009-10-06,2009-10-01,2009-10-05,2009-10-02,2009-09-27,0.31269,0.31749,0.32859,0.3103,0.34554
proctor,DB,1000,falling,gcc_mean,2008-10-03,2008-09-29,2008-09-20,2008-10-06,2008-10-01,2008-09-23,2008-09-30,2008-09-26,2008-09-19,0.31221,0.31698,0.32862,0.30851,0.34596
