#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2019
# Final Processing Date: 2019-07-31
# Final Processing Time: 11:09:05
# Spline RMSE gcc_mean: 0.00334
# Spline RMSE gcc_50: 0.00316
# Spline RMSE gcc_75: 0.00358
# Spline RMSE gcc_90: 0.00435
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,rising,gcc_mean,2008-05-04,2008-05-08,2008-05-15,2008-05-02,2008-05-07,2008-05-13,2008-05-06,2008-05-10,2008-05-16,0.37287,0.38563,0.41099,0.36511,0.45093
harvard,DB,1000,rising,gcc_mean,2009-04-23,2009-05-02,2009-05-10,2009-04-17,2009-05-01,2009-05-08,2009-04-28,2009-05-04,2009-05-11,0.37019,0.38262,0.41043,0.36206,0.45136
harvard,DB,1000,rising,gcc_mean,2010-04-20,2010-04-26,2010-05-02,2010-04-05,2010-04-25,2010-04-30,2010-04-23,2010-04-27,2010-05-03,0.37197,0.38595,0.41208,0.36351,0.45588
harvard,DB,1000,rising,gcc_mean,2011-05-01,2011-05-07,2011-05-14,2011-04-28,2011-05-06,2011-05-13,2011-05-03,2011-05-09,2011-05-15,0.37378,0.38711,0.41195,0.36504,0.45677
harvard,DB,1000,rising,gcc_mean,2012-04-18,2012-05-02,2012-05-09,2012-04-11,2012-04-30,2012-05-07,2012-04-25,2012-05-03,2012-05-10,0.37675,0.39141,0.42018,0.36702,0.46473
harvard,DB,1000,rising,gcc_mean,2013-04-29,2013-05-04,2013-05-11,2013-04-26,2013-05-03,2013-05-09,2013-05-01,2013-05-06,2013-05-12,0.37574,0.38941,0.41776,0.36689,0.45974
harvard,DB,1000,rising,gcc_mean,2014-05-07,2014-05-11,2014-05-17,2014-05-05,2014-05-10,2014-05-15,2014-05-08,2014-05-12,2014-05-18,0.37787,0.39259,0.42136,0.36792,0.4682
harvard,DB,1000,rising,gcc_mean,2015-05-01,2015-05-05,2015-05-11,2015-04-28,2015-05-04,2015-05-09,2015-05-03,2015-05-06,2015-05-12,0.37523,0.38743,0.41319,0.36658,0.45479
harvard,DB,1000,rising,gcc_mean,2016-05-06,2016-05-11,2016-05-18,2016-05-03,2016-05-10,2016-05-16,2016-05-08,2016-05-13,2016-05-19,0.37837,0.39216,0.42199,0.36894,0.46934
harvard,DB,1000,rising,gcc_mean,2017-05-01,2017-05-09,2017-05-16,2017-04-26,2017-05-08,2017-05-15,2017-05-05,2017-05-11,2017-05-17,0.37848,0.39453,0.42373,0.36848,0.47559
